title,category,brand,model,price,stock_status,description,specs,image_url,location
Lenovo ThinkPad E14,Laptops,Lenovo,ThinkPad E14,55999,In Stock,Business laptop for office and student use,Intel i5 12th Gen | 16GB RAM | 512GB SSD,,Warehouse
HP Pavilion 15,Laptops,HP,Pavilion 15,58999,In Stock,Everyday laptop with balanced performance,Intel i5 | 8GB RAM | 512GB SSD,,Warehouse
Dell OptiPlex Desktop,Desktops,Dell,OptiPlex 3080,42999,In Stock,Compact office desktop tower,Intel i5 | 8GB RAM | 512GB SSD,,Warehouse
AIO 24 inch PC,All in One PC,HP,24-cb,49999,Limited Stock,All in one desktop for reception and office,24 inch display | i5 | 8GB RAM,,Warehouse
Canon Pixma Printer,Printers,Canon,Pixma G3020,14999,In Stock,Color ink tank printer for home and office,Print | Scan | Copy,,Warehouse
Hikvision CCTV Kit,CCTV,Hikvision,4 Channel Kit,18999,In Stock,Security camera system for shop and home,4 cameras | DVR | HDD support,,Warehouse
CAT6 Ethernet Cable,Ethernet Cables,Generic,CAT6,699,In Stock,High speed networking cable,Per meter pricing,,Warehouse
27 inch Monitor,Monitors,LG,27MP400,12999,In Stock,Full HD display for work and gaming,27 inch | IPS | HDMI,,Warehouse
Wireless Mouse,Mouse,Logitech,M185,799,In Stock,Compact wireless mouse,USB receiver,,Warehouse
Mechanical Keyboard,Keyboards,Redragon,K552,2699,In Stock,Durable backlit keyboard,TKL layout | USB,,Warehouse
Laptop Adapter,Adapters,Dell,65W Adapter,1599,In Stock,Replacement laptop charger,65W | 19.5V,,Warehouse
512GB SSD,SSD,WD,Blue SN570,3499,In Stock,Fast storage upgrade,NVMe | Gen3,,Warehouse
16GB RAM,RAM,Corsair,Vengeance DDR4,3999,In Stock,Desktop memory upgrade,16GB | DDR4,,Warehouse
WiFi Router,Routers,TP-Link,Archer C6,2299,In Stock,Home and office WiFi router,Dual band | AC1200,,Warehouse
4G Modem,Modem,Huawei,E3372,2599,In Stock,Portable connectivity device,USB modem,,Warehouse
